ACCT-001,"We could not find account %d in this EDM."
ANALYSIS-014,"Post-analysis treaty editing is not supported for this analysis. Confirm that Analysis ID %d is valid, exposure level is portfolio, analysis type is EP, and the engine type is DLM, ALM or Group. See "Creating and Editing Treaties" in the Help Center."
ANALYSIS-015,"Downloading results in CSV or Parquet format is not supported for these results. Confirm that Analysis ID %d is valid. You cannot download EP metrics for non-EP analyses, you cannot download stats for DLM/ALM non-EP analyses. See "Exporting to File" in the Help Center."
ANALYSIS-016,"Grouping is not supported for these analyses. Confirm that the Analysis IDs are valid and that the engine type is DLM or Group. See "Grouping Results" in the Help Center."
ANALYSIS-017,"Sorry, we encountered an error while submitting a post-analysis treaty editing job for analysis ID %d. Try again, and contact Support if this still does not work."
ANALYSIS-018,"We encountered an error retrieving the analysis perspectives for analysis with error %s. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYSIS-019,"We encountered an error retrieving loss results for analysis %d. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYSIS-020,"Sorry, the metric type %s is not valid for analysis id %d. Valid metrics are AEP, OEP, TCE-AEP, TCE-OEP."
ANALYSIS-021,"Analysis ID is invalid for metrics request. Check that your request specifies a valid analysis ID and that engine type is DLM."
ANALYSIS-022,"We encountered an error retrieving metrics. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYSIS-023,"The exposure type %d is invalid. Please check that your requests specify a valid exposure type."
ANALYSIS-024,"Exposure type %d is invalid for this request. Only results on portfolio/aggregate-portfolio/account/policy are allowed."
ANALYSIS-025,"Export of climate change results to RDM is not supported for HD results."
ANALYSIS-026,"Sorry, the provided exposure type '%s' did not match the expected exposure type '%s'."
ANALYSIS-027,"Sorry, the exposure type %s is not valid for DLM analysis. Valid exposure types are 'ACCOUNT' and 'PORTFOLIO'."
ANALYSIS-028,"Sorry, the exposure type %s is not valid for model analysis. Valid exposure types are 'ACCOUNT', 'PORTFOLIO' and 'AGGPORTFOLIO'."
ANALYSIS-029,"Sorry, the exposure type is missing. Please check that your request contains exposure type."
ANALYSIS-030,"Sorry, the provided value for exposure type is invalid. Please check that your request contains valid exposure type."
ANALYSIS-031,"Sorry, the provided value for filter condition is invalid. Please check that your request contains a valid filter condition."
ANALYSIS-032,"Sorry, you can't download results for an analysis %d, that has been deleted."
ANALYSIS-033,"Sorry, analysis ids can not be null or empty."
ANALYSIS_GROUP-001,"Could not parse URL, reason %s"
ANALYSIS_GROUP-002,"Database error occurred while getting a analysisGroup with groupId: %d%n"
ANALYSIS_GROUP-003,"Database error occurred while getting a list of analysisGroup, reason %s"
ANALYSIS_GROUP-004,"Database error occurred while getting list of inconsistent treaties"
ANALYSIS_GROUP-005,"Invalid analysis group id : %s"
ANALYSIS_GROUP-006,"You have entered a date using an invalid format %s. Enter dates as MM/DD/YYYY only."
ANALYSIS_GROUP-007,"You have tried to group invalid results. You can group portfolio-level EP results, and you can group DLM groups."
ANALYSIS_GROUP-008,"Enter a value greater than zero for the number of simulation periods for the final grouped PLT."
ANALYSIS_GROUP-009,"You've selected too many results for grouping. Select a maximum of %d."
ANALYSIS_GROUP-010,"Analyses details should not be empty."
ANALYSIS_GROUP-011,"Select at least two results for grouping."
ANALYSIS_GROUP-012,"Grouping of HD groups is not supported. You can group only individual HD results. See "Grouping Results" in the Help Center."
ANALYSIS_GROUP-013,"We encountered an error during grouping. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYSIS_GROUP-014,"Simulation Set is required for grouping. If it's blank and you're grouping HD analyses, it's possible that you're grouping HD analyses run before Feb 24, 2021. Rerun the HD analyses and then group."
ANALYSIS_GROUP-015,"Grouping is not supported for these analyses. Confirm that the Analysis IDs are valid and that the engine types are not combinations of ALM and HD. See "Grouping Results" in the Help Center."
ANALYSIS_GROUP-016,"Grouping is not supported for these analyses. Confirm that the Analysis IDs are valid and that the engine types are not combinations of ALM Multi Region and HD. See "Grouping Results" in the Help Center."
ANALYSIS_GROUP-017,"Sorry, Risk Modeler cannot create this group. Provide a 2-character peril code, a 2-character region code, and/or a 4-character model region code (such as NAEQ for North America earthquake) for each analysis to be included in the group."
ANALYSIS_GROUP_TREATY-001,"We encountered an error during grouping. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYSIS_REGIONS-001,"We encountered an error while saving details for analysis regions %s. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYSIS_REGIONS-002,"We encountered an error while fetching analysis regions for analysis id %d."
ANALYSIS_REGIONS-003,"No rate scheme id found for analysis id %d."
ANALYTICS-000,"Sorry, looks like something might be wrong at our end. Try this again, and if it still doesn't work, contact Support at support.rms.com."
ANALYTICS-001,"No results available. Account Id: %d not analyzed yet."
ANALYTICS-500,"Database error occurred while loading event losses for Report Id: %d"
ANALYTICS-501,"Database error occurred while retrieving analysis details for Report Id: %d"
ANALYTICS-502,"Database error occurred while retrieving analysis report status for Account Id: %d"
ANALYTICS-503,"Database error occurred while retrieving analysis details for data source: %s"
ANALYTICS-520,"Database error occurred while checking report count for Job Id: %d"
ANALYTICS-521,"Database error occurred while getting EP metrics financial perspective analysis for analysis Id: %d"
ANALYTICS-522,"Database error occurred while getting data from Results store for analysis Id: %d"
ANALYTICS-523,"Database error occurred while getting Statistics for analysis for analysis Id: %d"
ANALYTICS-524,"Database error occurred while getting job id for analysis for analysis Id: %d"
ANALYTICS-525,"Database error occurred while getting analysis id"
ANALYTICS-526,"Database error occurred while setting analysis status"
ANALYTICS-527,"Database error occurred while retrieving Cedants list for Report Id: %d"
ANALYTICS-528,"Database error occurred while retrieving Treaties list for Analysis id: %d"
ANALYTICS-529,"Database error occurred while retrieving LOBs for Treaty id: %d"
ANALYTICS-530,"Database error occurred while retrieving perspectives for Analysis id: %d"
ANALYTICS-531,"Database error occurred while deleting Analysis id: %d"
ANALYTICS-532,"Database error occurred while deleting Analyses ids: %s"
ANALYTICS-533,"Database error occurred while checking whether analysis id: %d exists or not"
ANALYTICS-534,"Analysis id: %d is invalid. Please check that your requests specify a valid Analysis ID."
ANALYTICS-536,"Analysis id: %d not found in Result Service. Please check that your requests specify a valid Analysis ID."
ANALYTICS-537,"Sorry, we can't calculate losses for the input you provided."
ANALYTICS-538,"Peril code %s is not supported for the Analysis Summary report. Select a supported peril."
ANALYTICS-539,"Database error occurred while retrieving analysis details list"
ANALYTICS-540,"Database error occurred while retrieving analysis details for Exposure type: %s with Id: %d"
ANALYTICS-541,"Sorry, we encountered an error trying to connect to our databases. Try again, and contact Support if this still does not work."
ANALYTICS-542,"Sorry, analysis ID %d is invalid for the Analysis Summary report. You can run the Analysis Summary report on portfolio-level DLM analyses only."
ANALYTICS-543,"Database error occurred while getting analysis group info data for analysis ids - %s."
ANALYTICS-544,"Database error occurred while retrieving analysis details : %s."
ANALYTICS-545,"Sorry, we encountered an error while fetching losses. Try again, and contact Support at support@rms.com if this still doesn't work."
ANALYTICS-546,"We encountered an error retrieving treaty information. Try again, and if this still doesn't work, contact Support at support@rms.com."
ANALYTICS-547,"Sorry, looks like this analysis did not generate losses for selected perspective."
ANALYTICS-548,"Analysis ids: %s are invalid. Please check that your requests specify a valid Analysis ID."
ANALYTICS-549,"Sorry, analysis ID %d is invalid for the Analysis Summary report. You cannot run the report on DLM results that have been simulated to a PLT."
BRANCH-401,"Database error occurred, branch does not exist"
BRANCH-402,"Database error occurred while loading branches, reason : %s"
BRANCH-404,"%s"
BRANCH-406,"%s"
BRANCH-409,"%s"
BRANCH-502,"Database error occurred while creating branch, reason : %s"
BRANCH-503,"Database error occurred while updating branch with Id: %d, reason : %s"
BRANCH-504,"Database error occurred while deleting branch with Id: %d, reason : %s"
BRANCH-505,"Database error occurred duplicate branch, branch already exists"
BRANCH-506,"Validation error, branch id cannot be null or empty."
BRANCH-508,"Validation error, branch, the name field has exceeded allowed length."
BRANCH-509,"Database error occurred while checking if branch exists : reason %s"
BRANCH-510,"Database error occurred while checking if branch has reference in accgrp table : reason %s"
CANCELJOB-500,"Cancel job failed. Error: %s"
CE-001,"Failed to build tenant key for: %s.  Most likely tenant id was missing from thread context or environment variable."
CE-002,"Failed to find a value for required key: %s"
CE-003,"Failed to build a key for configuration level: %s, and key: %s."
CE-004,"Sorry, we encountered an error while loading the configurations. Try again, and contact Support at support@rms.com if this still doesn't work"
CE-005,"Failed to build a cache for configuration provider."
CEDANT-401,"Database error occurred, cedant with Id: %s does not exists"
CEDANT-404,"%s"
CEDANT-406,"%s"
CEDANT-409,"%s"
CEDANT-501,"Database error occurred while loading cedants, reason : %s"
CEDANT-502,"Database error occurred while creating cedant, reason : %s"
CEDANT-503,"Database error occurred while updating cedant with Id: %s, reason : %s"
CEDANT-504,"%s"
CEDANT-505,"Database error occurred while duplicating cedant with Id: %s, cedant already exists"
CEDANT-506,"Validation error, cedant id cannot be null or empty."
CEDANT-507,"Validation error, cedant id length has to be between 1 and 20."
CEDANT-508,"Validation error, cedant, some of the String field has exceeded allowed length."
CEDANT-509,"Database error occurred while checking if cedant Id: %d exists"
CEDANT-510,"Database error occurred while checking if cedant with Id: %d and Name: %s exists"
CLIENT-001,"Invalid identifier, %s : %s"
CLIENT-002,"Sorry, we could not get the requested data. The input '%s' is not a valid query parameter."
CLIENT-003,"Sorry, we could not get the requested data. Expected %s but got '%s'. (line %d, character %d)"
CLIENT-005,"Sorry, we don't recognize the field '%s'"
CLIENT-006,"Unknown parser error: %s. (line %d, character %d)"
CLIENT-007,"Incompatible data type for %s, expected %s but got %s"
CLIENT-008,"Sorry, looks like '%s' (line %d, character %d) is an invalid command. Valid commands include EDIT, SET, and WHERE. See the "Bulk Edits-Advanced" topic in the Help Center for help with query syntax."
CLIENT-009,"Sorry, this is an invalid argument for the EDIT command : '%s' . This should be 'policy' or 'location' (line %d, character %d). See the "Bulk Edits-Advanced" topic in the Help Center for help with query syntax."
CLIENT-010,"Sorry, this is an invalid symbol : '%s' (line %d, character %d)."
CLIENT-011,"Sorry, looks like '%s' (line %d, character %d) is an invalid command. Valid options include WHERE or '\,' comma. See the "Bulk Edits-Advanced" topic in the Help Center for help with query syntax."
CLIENT-012,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the SET command. See the "Bulk Edits-Advanced" topic in the Help Center for help with query syntax."
CLIENT-013,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Bulk Edits-Advanced" topic in the Help Center for help with query syntax."
CLIENT-014,"Sorry, you entered an invalid value for parameter '%s'"
CLIENT-015,"Sorry, this currency conversion request isn't valid. Try again, and contact Support if this still does not work."
CLIENT-016,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Account Search" topic in the Help Center for help with query syntax."
CLIENT-017,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Portfolio Search" topic in the Help Center for help with query syntax."
CLIENT-018,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Policy Search" topic in the Help Center for help with query syntax."
CLIENT-019,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Step Policy Search" topic in the Help Center for help with query syntax."
CLIENT-020,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Aggregate Portfolio Search" topic in the Help Center for help with query syntax."
CLIENT-021,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command. See the "Treaty Search" topic in the Help Center for help with query syntax."
CLIENT-022,"Sorry, looks like '%s' (line %d, character %d) is an unsupported field in the WHERE command."
CLIENT-023,"Sorry, looks like your query contains mismatched data type values."
CLIENT-400,"Unable to read JSON"
CLIENT-401,"Invalid data submitted"
CLIENT-402,"Sorry, we don't recognize the field %s. Check the field in the API reference on the Developer Portal."
CLIENT-403,"Sorry, this is an invalid format for %s. Check the format in the API reference on the Developer Portal."
CLIMATE-CHANGE-001,"To run an analysis, select at least 1 RCP scenario with 1 time horizon, or select the 2Â°C warming scenario. RCP scenarios are 2.6, 4.5, 6.0, 8.5. Time horizons are between the years of 2020 and 2100 in 5-year increments."
CLIMATE-CHANGE-002,"To run a climate change analysis on North Atlantic Hurricane results, %s input is required."
CLIMATE-CHANGE-003,"Sorry, you can run climate change analyses on individual, portfolio-EP analyses only. You cannot run a climate change analysis on DLM results that have been simulated to a PLT."
CLIMATE-CHANGE-004,"Climate change analyses are supported only for these models: North Atlantic Hurricane, Europe Windstorm, Europe Inland Flood HD."
CLIMATE-CHANGE-005,"Time horizon %d is invalid. Valid time horizons are between 2020 and 2100 in 5-year increments."
CLIMATE-CHANGE-006,"RCP scenario %f is invalid. Valid RCP scenarios are 2.6, 4.5, 6.0, 8.5."
CLIMATE-CHANGE-007,"Sorry, we encountered an error on our end while running the climate change analysis for analysis id %d. Contact Support at support@rms.com."
CLIMATE-CHANGE-008,"You cannot run a climate change analysis on Europe Flood HD results generated prior to Feb 24, 2021. Rerun the Europe Flood HD analysis, and then run the climate change analysis on the new results."
CLIMATE-CHANGE-009,"You have submitted an invalid climate conditioned view for %s analysis. To learn more about valid views for different peril models, see "Climate Change Model Analyses" in the Help Center."
CLIMATE-CHANGE-010,"You have submitted an invalid reference rate scheme ID for %s analysis. To learn more about valid scheme IDs for different peril models, see "Climate Change Model Analyses" in the Help Center."
CLIMATE-CHANGE-011,"Invalid argument for %s"
CLIMATE-CHANGE-012,"Unable to retrieve metadata for %s"
CONFIG-501,"Failed to create job configuration"
CONVERT-EVENT-001,"Invalid argument for %s"
CONVERT-EVENT-002,"Unable to retrieve metadata for %s"
CONVERT-EVENT-003,"Sorry, you can convert event rates or apply loss adjustments on %s engine type(s) only. Enter a non-HD or non-simulated DLM analysis ID."
CONVERT-EVENT-004,"Unsupported analysis type. Convert analysis event rate and loss is only supported on %s analysis type(s)"
CONVERT-EVENT-005,"Sorry, we encountered an error while submitting the convert analysis event rate and loss job. Try again, and contact Support if this still does not work."
CONVERT-EVENT-006,"Analysis id %d already ran on event rate id %d."
CONVERT-EVENT-007,"Error when getting event loss adjustments: Unable to read the file header."
CONVERT-EVENT-008,"Sorry, you must provide at least one event rate scheme id or one event loss adjustment scheme id to run convert event rate and loss."
CONVERT-EVENT-009,"Unsupported exposure type. Convert event rate and loss is not supported for account analyses."
CONVERT-EVENT-010,"Sorry, convert event rate and loss is not supported PLT groups."
CONVERT-EVENT-011,"Sorry, the event rate scheme id %d does not match the analysis peril region(s)."
CONVERT-EVENT-012,"Sorry, the loss adjustment scheme id %d does not match the analysis peril region(s)."
CONVERT-EVENT-013,"Sorry, we encountered an error while reading the event loss adjustments. Try again, and contact Support if this still does not work."
CONVERT-EVENT-014,"Error while reading the event loss adjustments, non numeric values found."
CONVERT-EVENT-015,"No event rate schemes found for analysis id %d."
CONVERT-EVENT-016,"Sorry, the following event rate scheme(s) are invalid: %s. See Event Rates in the Risk Modeler Model Composer for a list of valid IDs."
CONVERT-RESULT-CURRENCY-001,"Sorry, we encountered an error on our end while converting currency for analysis id %d. Contact Support at support@rms.com."
CONVERT-RESULT-CURRENCY-002,"Invalid argument for %s"
CONVERT-RESULT-CURRENCY-003,"Unable to retrieve metadata for %s"
CONVERT-RESULT-CURRENCY-004,"Sorry, some of the currency information is invalid. Check the currency scheme, currency code, vintage, and as-of date and try again."
CONVERT-RESULT-CURRENCY-005,"Sorry, the target currency is the same as the original currency. Check the target currency and try again."
CONVERT-RESULT-CURRENCY-006,"Sorry, the analysis ID for the currency conversion is not valid. Check the analysis ID and try again."
CONVERT-RESULT-CURRENCY-007,"You cannot convert the currency for this group because the group and/or the groupâs underlying analyses need to be recalculated. Recalculate the group and/or the underlying analyses, and then try again to convert the currency."
CURRENCY-400,"Validation error, Invalid domain name"
CURRENCY-401,"Validation error, Invalid tablespace"
CURRENCY-402,"Validation error, Invalid entity name"
CURRENCY-403,"Validation error, Invalid records"
CURRENCY-404,"Validation error, Invalid column name"
CURRENCY-405,"Validation error, Mandatory column missing"
CURRENCY-501,"Database error occurred while creating records in table %s, reason : %s"
CURRENCY-502,"An error occurred while validating currency"
CURRENCY-503,"Invalid exposure type passed for currency conversion"
DATA-BRIDGE-401,"Invalid notification key %s"
DATA-BRIDGE-402,"%s not supported on Data Bridge databases"
DATA-BRIDGE-403,"The database %s that you tried to de-register does not exist."
DATA-BRIDGE-404,"The database you tried to de-register has not been registered on the Data Bridge."
DATA-BRIDGE-405,"Target Data Bridge database %s does not exist"
DATA-BRIDGE-501,"Sorry, we encountered an error submitting this Data Bridge job. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-502,"Sorry, we encountered an error loading this database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-503,"Sorry, we encountered an error deregistering this database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-550,"Sorry, we encountered an error creating this Data Bridge database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-551,"Sorry, we encountered an error deleting this Data Bridge database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-552,"Sorry, we encountered an error creating this Data Bridge sign-in. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-553,"Sorry, we encountered an error setting permissions on this Data Bridge database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-554,"Sorry, we encountered an error importing this Data Bridge database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-555,"Sorry, we encountered an error exporting this Data Bridge database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-556,"Sorry, we encountered an error trying to get details for data bridge database. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-557,"Sorry, we failed to process this request. %s. Try again, and contact Support at support@rms.com if this still doesn't work."
DATA-BRIDGE-558,"Failed to get job: %s status"
DATA-BRIDGE-559,"Databridge task %s not found"
DATA-BRIDGE-560,"Failed to register databridge EDM: %s"
DATABASE_MAINTENANCE-001,"Database error occurred while rebuilding index"
DATABASE_MAINTENANCE-002,"Database error occurred while clearing cache"
DATABASE_STORE-400,"Invalid server id provided: %d"
DATABASE_STORE-401,"Invalid SQL server version provided."
DATABASE_STORE-404,"Data Bridge data source %s not found"
DATABASE_STORE-500,"An error occurred retrieving database store record"
DATABASE_STORE-501,"An error occurred inserting database store record"
DATABASE_STORE-502,"An error occurred updating database store record"
DATABASE_STORE-503,"An error occurred deleting database store records"
DATABASE_STORE-504,"Database Store task exceeded maximum wait time."
DATE-001,"Invalid date. The valid range of dates is from 01/01/1753 to 12/31/9999"
DATE-002,"%s"
DBATTRIBUTE-001,"Error occurred while fetching the db attribute : %s"
DBM-502,"Database error occurred while updating metrics for database with Id: %d"
DBM-503,"Database error occurred while calculating metrics for database"
DBM-504,"Database error occurred while updating metrics for database"
DBM-505,"Database error occurred while calculating the size of EDMs"
DBM-506,"Database error occurred while checking if the metrics exist"
DBM-507,"Database error occurred while getting metrics for database with ID: %d"
DBM-508,"Database error occurred while deleting metrics for database"
DBMANAGER-001,"Query error. Reason: %s"
DBMD-501,"Database error occurred while deleting metadata for database"
DBUPGRADE-501,"Database error occurred while getting DB upgrade status"
DBUPGRADE-502,"Database error occurred while inserting DB upgrade status"
DBUPGRADE-503,"Database error occurred while updating DB upgrade status"
DBUPGRADE-504,"Database error occurred while checking if DB upgrade status exists"
DLM_SERVICE-001,"Sorry, we encountered an error while running the DLM analysis job. Try again, and contact Support if this still does not work."
DLM_SERVICE-002,"Sorry, we encountered an error while loading the model profile ID %d for this DLM analysis. Try again, and contact Support if this still does not work."
DLM_SERVICE-003,"Sorry, we encountered an error while loading the analysis currency %s for this DLM analysis. Try again, and contact Support if this still does not work."
DLM_SERVICE-004,"Sorry, the model version %s for this DLM analysis is invalid. Specify a valid version and try again."
DLM_SERVICE-005,"Sorry, the currency vintage %s with the as-of date %s is invalid. Specify a valid vintage and try again."
DLM_SERVICE-006,"Sorry, the output profile is invalid or missing. Specify a valid output profile and try again."
DLM_SERVICE-007,"Model Region with code %s and isHd %s is not found"
DLM_SERVICE-008,"Invalid model profile - footprintId missing or invalid"
DLM_SERVICE-009,"Footprint Event %s is not found"
DLM_SERVICE-010,"Sorry, the output profile ID %d for this analysis is invalid. Specify a valid output profile and try again."
